1.35668,1.35616
1.35669,1.35635
1.35636,1.35624
1.35635,1.35612
1.3562,1.3561
1.35618,1.35606
1.35614,1.35583
1.35586,1.35571
1.35573,1.35533
1.35544,1.35513
1.35535,1.35514
1.35571,1.35534
1.35586,1.35554
1.35609,1.35574
1.35622,1.35594
1.35644,1.35615
1.35648,1.35632
1.35644,1.35566
1.35573,1.35503
1.35527,1.35495
1.3552,1.35494
1.35506,1.35484
1.35505,1.35476
1.35545,1.35495
1.35647,1.3554
1.35639,1.35584
1.35625,1.35585
1.35616,1.35596
1.35641,1.35607
1.35642,1.35621
1.35631,1.35591
1.35612,1.35581
1.35591,1.35565
1.35575,1.3555
1.35602,1.35568
1.35609,1.35583
1.35612,1.35583
1.35642,1.35593
1.35658,1.3559
1.35626,1.35585
1.35634,1.35593
1.35617,1.35591
1.35623,1.35592
1.35602,1.35553
1.35574,1.35554
1.35598,1.35562
1.35572,1.35555
1.35573,1.35541
1.35603,1.35565
1.35623,1.35592
1.35643,1.35617
1.35654,1.35634
1.35647,1.35626
1.35656,1.35643
1.35666,1.35647
1.35675,1.35663
1.35678,1.35655
1.35666,1.35639
1.35678,1.35648
1.35676,1.35638
1.35675,1.35659
1.35693,1.35675
1.35692,1.35683
1.35693,1.35683
1.35765,1.35692
1.35766,1.35759
1.35773,1.35755
1.35787,1.35766
1.35784,1.35768
1.35819,1.35782
1.3581,1.35779
1.35798,1.35765
1.35784,1.35761
1.35776,1.35754
1.35791,1.35762
1.35792,1.35754
1.35769,1.35734
1.3578,1.35733
1.35761,1.35683
1.35706,1.35681
1.35695,1.35674
1.35701,1.35646
1.35665,1.3564
1.35684,1.35659
1.35721,1.35666
1.35741,1.35654
1.35773,1.35702
1.35724,1.35676
1.35753,1.35674
1.35741,1.35696
1.35718,1.35596
1.35658,1.35611
1.35653,1.35605
1.35666,1.35616
1.35662,1.35629
1.3567,1.35635
1.3567,1.3562
1.35739,1.35638
1.35787,1.35705
1.3571,1.35655
1.35687,1.35626
1.35655,1.35603
1.35686,1.35619
1.35715,1.35624
1.35647,1.35588
1.35652,1.35566
1.35645,1.35584
1.35668,1.35589
1.35669,1.35631
1.35648,1.35606
1.35844,1.35649
1.35898,1.35794
1.3589,1.35853
1.35965,1.35857
1.35986,1.35913
1.35981,1.35955
1.35994,1.35936
1.36005,1.35934
1.35998,1.35956
1.36071,1.35992
1.36009,1.35973
1.36003,1.35907
1.35962,1.35917
1.35965,1.35922
1.35985,1.35946
1.35967,1.35913
1.35969,1.35926
1.35965,1.35928
1.35956,1.35926
1.35948,1.35916
1.35946,1.35899
1.35919,1.35875
1.35907,1.35865
1.35877,1.35845
1.35861,1.35823
1.35857,1.35804
1.3587,1.3584
1.35865,1.35816
1.35848,1.35808
1.3585,1.35808
1.35889,1.35819
1.35825,1.35767
1.35819,1.3578
1.35784,1.35686
1.35716,1.35659
1.35696,1.35667
1.35689,1.3564
1.35715,1.35645
1.35718,1.35665
1.35748,1.35719
1.35728,1.35577
1.35627,1.35574
1.35656,1.35613
1.35628,1.35578
1.35638,1.35587
1.35635,1.35595
1.35643,1.35609
1.35644,1.35588
1.35606,1.35571
1.3561,1.3554
1.35571,1.35534
1.35618,1.35536
1.35659,1.35579
1.35612,1.35526
1.35598,1.35447
1.35615,1.35527
1.35604,1.35537
1.35592,1.35551
1.35639,1.35562
1.35633,1.3555
1.35554,1.35461
1.35533,1.35448
1.35573,1.35518
1.35561,1.35514
1.35597,1.3554
1.35658,1.35557
1.35676,1.35634
1.35699,1.35627
1.35655,1.3556
1.35607,1.35515
1.35571,1.35398
1.35452,1.35339
1.35368,1.35322
1.35397,1.3529
1.35351,1.35299
1.35376,1.35313
1.35388,1.35315
1.354,1.35361
1.3542,1.35359
1.35397,1.35318
1.35507,1.35391
1.3551,1.35456
1.35529,1.35421
1.35436,1.35341
1.35372,1.35238
1.3532,1.3525
1.35325,1.3526
1.35307,1.35239
1.35393,1.35279
